price,accommodates,bedrooms,beds,bathrooms,guests_included,reviews_per_month,number_of_reviews,host_listings_count,longitude,latitude
150.0,4,1.0,2.0,1.0,4,0.31,5,1.0,-9179294.013754837,5302736.3184852665
190.0,6,3.0,3.0,2.0,1,0.6,3,1.0,-9179003.79214955,5303055.2869021995
68.0,2,1.0,1.0,1.0,1,2.88,17,1.0,-9178509.44073507,5302094.712181436
149.0,2,1.0,1.0,1.5,2,3.08,31,2.0,-9178575.897871414,5302227.972828116
349.0,10,2.0,5.0,2.0,1,7.18,34,9.0,-9178770.431563338,5302195.422175617
105.0,2,1.0,1.0,1.0,1,0.54,1,2.0,-9178694.019979192,5302121.301515512
145.0,4,1.0,2.0,1.5,2,0.35,10,4.0,-9178545.389626756,5302590.909131757
150.0,2,1.0,1.0,1.0,1,0.61,15,1.0,-9178483.026402408,5302666.043216957
275.0,4,2.0,1.0,2.0,3,0.21,1,1.0,-9178710.726440275,5302407.501423676
165.0,4,2.0,3.0,1.0,1,1.98,7,5.0,-9178962.193653494,5302219.985433294
196.0,5,3.0,3.0,2.0,5,1.0,1,2.0,-9178504.997187177,5303107.448997343
195.0,4,1.0,2.0,1.0,1,1.41,28,1.0,-9178485.967348147,5302060.711068948
200.0,4,2.0,2.0,2.0,2,0.73,7,2.0,-9178501.37692959,5303213.406870235
90.0,2,1.0,1.0,1.5,1,3.48,36,1.0,-9178538.967819858,5303298.1273139715
125.0,2,1.0,1.0,1.0,1,0.92,16,1.0,-9178336.756984735,5303270.508861505
250.0,8,3.0,5.0,1.5,1,0.5,4,36.0,-9178998.01864284,5302410.407417681
130.0,2,1.0,1.0,1.5,1,2.92,23,1.0,-9178483.472988287,5302676.17172595
209.0,2,1.0,1.0,1.0,2,0.1,1,1.0,-9179053.480669819,5302165.748272471
110.0,4,1.0,2.0,1.0,2,1.93,61,1.0,-9178838.338963093,5302385.4933924675
90.0,4,1.0,2.0,1.0,0,5.91,50,6.0,-9178548.827955842,5303456.540294541
90.0,2,1.0,1.0,1.0,1,2.29,55,1.0,-9179127.45743693,5303076.523398562
130.0,2,1.0,1.0,1.0,2,0.59,1,2.0,-9178691.119074184,5302483.2826248305
175.0,2,1.0,1.0,1.0,1,0.2,1,1.0,-9179416.727438536,5302263.627098633
749.0,8,3.0,3.0,3.5,4,2.67,12,4.0,-9178723.274919497,5302478.44233664
115.0,4,2.0,2.0,2.0,1,1.71,2,1.0,-9178690.383044634,5302000.705891392
165.0,4,2.0,2.0,1.5,2,2.57,26,1.0,-9178505.705600947,5303548.536290897
80.0,2,0.0,1.0,1.0,1,1.0,1,1.0,-9179465.013811143,5302934.702370397
285.0,6,3.0,4.0,2.0,1,2.41,53,2.0,-9178786.337707803,5302873.233324805
80.0,2,1.0,1.0,1.0,2,3.82,13,1.0,-9179319.94625466,5302529.387437154
68.0,2,1.0,1.0,1.0,2,0.63,4,1.0,-9178498.30211396,5303029.414728965
125.0,4,1.0,2.0,1.0,1,4.68,32,2.0,-9178681.549027402,5303528.79748961
110.0,2,1.0,1.0,1.0,2,0.98,53,1.0,-9178355.796613716,5303323.323644869
600.0,7,3.0,3.0,4.0,1,0.53,8,9.0,-9179023.57276066,5302066.009133831
235.0,4,2.0,2.0,2.0,2,0.71,2,2.0,-9178714.695862597,5302153.162484425
75.0,4,1.0,2.0,1.0,3,2.66,7,2.0,-9178537.033287467,5303342.188331744
95.0,2,1.0,1.0,1.0,1,0.34,1,2.0,-9178583.263745612,5302172.042276626
103.0,4,1.0,2.0,1.0,4,5.81,49,6.0,-9178529.513521565,5303400.525718773
120.0,2,1.0,1.0,1.0,2,3.45,59,1.0,-9178496.537797717,5302295.434123773
99.0,2,1.0,1.0,1.0,2,1.02,18,1.0,-9178673.115980087,5303363.961070711
142.0,2,1.0,1.0,1.0,1,2.76,63,1.0,-9179165.777239366,5303446.433496326
150.0,2,1.0,2.0,1.0,2,1.7,16,1.0,-9178660.092209587,5303716.145787789
295.0,6,3.0,3.0,2.0,1,0.14,4,1.0,-9179271.844114507,5303186.246070129
335.0,6,4.0,4.0,3.5,1,1.07,3,1.0,-9178903.31005017,5303320.792522572
250.0,6,3.0,3.0,1.5,4,0.37,2,1.0,-9179182.748656485,5302955.024353682
499.0,8,4.0,5.0,3.0,8,1.57,14,1.0,-9178926.180741433,5302611.2159940805
350.0,8,3.0,4.0,2.0,7,1.53,9,3.0,-9179179.25741359,5303047.411970883
156.0,3,1.0,2.0,1.0,2,1.98,11,1.0,-9179125.20255524,5302991.530484987
200.0,4,2.0,3.0,1.0,4,1.67,11,3.0,-9179218.448399052,5303045.187881693
180.0,4,2.0,2.0,2.0,3,0.24,1,1.0,-9179399.30908184,5302372.049130629
103.0,3,1.0,1.0,1.0,1,0.53,1,1.0,-9178419.037276732,5303097.08289117
99.0,2,1.0,1.0,1.0,1,6.39,115,1.0,-9178674.28546878,5301986.409270625
94.0,3,1.0,1.0,1.0,1,4.19,6,1.0,-9178592.361977335,5303293.582242775
160.0,4,1.0,1.0,1.0,0,1.46,10,3.0,-9179421.108660607,5303165.177927948
129.0,4,1.0,2.0,1.0,1,4.88,21,2.0,-9178583.966976626,5303286.744004649
219.0,4,1.0,2.0,1.0,2,1.01,5,1.0,-9178317.592096306,5303150.150501876
91.0,4,1.0,1.0,1.0,2,1.42,5,5.0,-9178801.895760965,5302082.021586425
75.0,4,1.0,2.0,1.0,4,6.82,53,6.0,-9178521.079324607,5303211.0061531095
99.0,2,0.0,1.0,1.0,2,4.37,106,1.0,-9178771.3194536,5302208.660801054
300.0,5,3.0,3.0,1.5,5,0.51,24,4.0,-9178086.337775996,5304827.807860505
149.0,6,2.0,3.0,1.0,1,0.89,11,8.0,-9178495.691224275,5305671.57354019
75.0,2,0.0,1.0,1.0,1,0.1,1,1.0,-9177729.723504944,5305696.996773046
95.0,3,1.0,2.0,1.0,3,2.78,79,3.0,-9177996.526487337,5304751.124808004
100.0,2,1.0,1.0,1.0,1,3.18,52,1.0,-9177678.303796563,5306021.785300698
250.0,6,3.0,2.0,2.0,1,0.81,1,1.0,-9177852.482080827,5305964.381958514
105.0,2,1.0,1.0,2.0,1,0.28,13,4.0,-9178054.278818443,5304831.987401032
74.0,2,1.0,1.0,1.0,1,2.86,20,2.0,-9177054.330259994,5306730.086169956
140.0,2,1.0,1.0,1.0,1,2.29,30,3.0,-9177794.810345748,5306199.462126394
130.0,4,1.0,1.0,1.0,2,2.3,14,1.0,-9177290.662722902,5306791.673083405
110.0,2,1.0,1.0,1.0,1,1.88,27,1.0,-9176966.799166158,5306119.834661941
199.0,8,4.0,4.0,2.0,4,1.42,5,5.0,-9178154.282089837,5306288.7592074815
209.0,6,2.0,3.0,1.5,1,0.67,5,2.0,-9178122.626879929,5304814.120022226
100.0,4,0.0,2.0,1.0,2,2.92,28,1.0,-9178032.773983862,5306508.2699734755
110.0,4,1.0,1.0,1.0,2,2.09,97,1.0,-9177609.156035466,5305053.11126188
104.0,2,1.0,2.0,1.0,2,1.97,15,1.0,-9178095.737924326,5304580.140600387
200.0,4,2.0,2.0,2.0,1,0.16,3,1.0,-9178153.137103666,5306112.554110081
99.0,4,0.0,2.0,1.0,2,0.81,1,1.0,-9177640.94894733,5304800.561243537
90.0,2,1.0,1.0,1.0,1,5.71,43,2.0,-9178062.124229146,5306039.326366661
135.0,6,2.0,3.0,1.0,2,3.6,71,1.0,-9176900.550261958,5306163.050212234
122.0,6,2.0,3.0,1.0,4,0.32,9,2.0,-9178056.869223464,5305105.455491441
80.0,2,0.0,1.0,1.0,1,0.87,3,1.0,-9178313.935729245,5305527.528646014
158.0,4,2.0,2.0,1.0,2,0.25,1,5.0,-9178108.667379284,5306281.550654422
90.0,4,1.0,1.0,1.0,2,1.39,11,1.0,-9178191.832693802,5304574.573083494
100.0,3,1.0,2.0,1.0,1,0.53,1,1.0,-9177610.613653192,5305060.943328688
89.0,4,1.0,2.0,1.0,2,0.23,4,1.0,-9178025.534985775,5305501.379525374
125.0,4,2.0,2.0,1.0,4,0.69,12,2.0,-9177836.330553614,5305626.036666544
42.0,2,1.0,1.0,1.0,1,0.22,1,2.0,-9178115.627924563,5306442.1826869855
65.0,2,1.0,1.0,1.0,1,1.49,61,1.0,-9177915.937164044,5305922.570503927
100.0,4,1.0,2.0,1.0,2,1.83,49,1.0,-9178126.475268343,5305079.173846093
40.0,2,1.0,2.0,1.0,1,3.16,4,1.0,-9178089.562784955,5306602.385690392
70.0,2,1.0,1.0,1.5,1,1.35,4,1.0,-9177188.932861947,5305054.415044905
110.0,4,1.0,1.0,1.0,1,0.63,35,1.0,-9177837.054580772,5306538.439741702
99.0,4,2.0,3.0,1.0,1,1.46,10,1.0,-9177767.720293328,5305972.89461498
680.0,6,3.0,3.0,3.0,6,0.89,6,1.0,-9178256.081731278,5304239.054466128
195.0,6,3.0,4.0,1.5,5,0.13,2,3.0,-9176989.784138069,5305185.141328161
55.0,2,1.0,1.0,2.0,1,5.38,86,3.0,-9178193.340167036,5306329.506208768
119.0,4,1.0,1.0,1.0,2,0.9,17,2.0,-9177714.070665866,5304497.177052129
175.0,5,3.0,3.0,2.0,5,1.79,26,1.0,-9177068.41911731,5306853.958344302
65.0,2,1.0,1.0,1.0,1,1.86,7,1.0,-9178156.378150512,5304638.424474787
75.0,2,1.0,1.0,1.0,1,1.85,11,1.0,-9178656.020104479,5305766.055774931
126.0,4,2.0,2.0,1.0,2,1.82,12,5.0,-9178144.456097014,5306255.8629895765
70.0,2,1.0,1.0,1.0,1,1.17,63,1.0,-9177644.099869037,5306253.827251517
90.0,2,1.0,1.0,1.0,2,2.75,54,1.0,-9177896.184058337,5306697.783967884
129.0,2,1.0,1.0,1.0,1,1.53,28,1.0,-9177465.882892907,5304877.388468909
225.0,12,5.0,6.0,2.0,4,0.94,29,1.0,-9177036.824266857,5305444.454152547
40.0,1,1.0,1.0,1.0,1,0.33,6,37.0,-9177525.079187013,5304365.516939109
50.0,1,1.0,1.0,1.0,2,0.28,1,37.0,-9177548.376122495,5304501.954484348
40.0,1,1.0,1.0,1.0,1,0.39,7,37.0,-9177515.243730443,5304506.259770519
40.0,1,1.0,1.0,1.0,1,0.29,1,37.0,-9177659.202726623,5304400.656891504
95.0,4,2.0,2.0,1.0,2,4.31,64,1.0,-9177396.445753248,5305714.113671465
175.0,6,2.0,4.0,1.0,1,2.38,39,1.0,-9178609.665648628,5305667.597883269
160.0,6,2.0,4.0,1.0,2,1.89,37,1.0,-9177270.728277149,5305217.528381683
40.0,1,1.0,1.0,1.0,1,0.47,2,37.0,-9177500.285797464,5304381.76052891
120.0,2,1.0,1.0,1.0,1,1.07,32,1.0,-9177773.858564233,5304379.14363002
